% Model:              lens_cube.mph
% Version:            COMSOL 5.5.0.292
% Date:               Nov 26 2021, 17:37
% Dimension:          3
% Nodes:              2001
% Expressions:        1
% Description:        Electric field, z component
% Length unit:        m
% x                       y                        z                        es.Ez (V/m)
3.0E-5                    -2.5E-5                  -6.640000000000001E-4    -88.70346251079056
3.0E-5                    -2.5E-5                  -6.63E-4                 -88.78684811270873
3.0E-5                    -2.5E-5                  -6.62E-4                 -88.87023371462732
3.0E-5                    -2.5E-5                  -6.61E-4                 -88.95361931654557
3.0E-5                    -2.5E-5                  -6.6E-4                  -89.03700491846385
3.0E-5                    -2.5E-5                  -6.590000000000001E-4    -89.12039052038165
3.0E-5                    -2.5E-5                  -6.580000000000001E-4    -89.20377612229987
3.0E-5                    -2.5E-5                  -6.57E-4                 -89.2871617242181
3.0E-5                    -2.5E-5                  -6.560000000000001E-4    -89.37054732613655
3.0E-5                    -2.5E-5                  -6.55E-4                 -89.45393292805473
3.0E-5                    -2.5E-5                  -6.540000000000001E-4    -89.53731852997274
3.0E-5                    -2.5E-5                  -6.53E-4                 -89.62070413189093
3.0E-5                    -2.5E-5                  -6.52E-4                 -89.70408973380943
3.0E-5                    -2.5E-5                  -6.510000000000001E-4    -89.78747533572722
3.0E-5                    -2.5E-5                  -6.5E-4                  -89.87086093764546
3.0E-5                    -2.5E-5                  -6.490000000000001E-4    -89.95424653956346
3.0E-5                    -2.5E-5                  -6.48E-4                 -90.0376321414822
3.0E-5                    -2.5E-5                  -6.47E-4                 -90.12101774340007
3.0E-5                    -2.5E-5                  -6.460000000000001E-4    -90.20440334531844
3.0E-5                    -2.5E-5                  -6.45E-4                 -90.28778894723676
3.0E-5                    -2.5E-5                  -6.44E-4                 -90.37117454915447
3.0E-5                    -2.5E-5                  -6.43E-4                 -90.45456015107274
3.0E-5                    -2.5E-5                  -6.42E-4                 -90.53794575299116
3.0E-5                    -2.5E-5                  -6.410000000000001E-4    -90.6213313549095
3.0E-5                    -2.5E-5                  -6.4E-4                  -90.66735979756567
3.0E-5                    -2.5E-5                  -6.39E-4                 -90.74850771909325
3.0E-5                    -2.5E-5                  -6.380000000000001E-4    -90.82965564062135
3.0E-5                    -2.5E-5                  -6.37E-4                 -90.910803562149
3.0E-5                    -2.5E-5                  -6.360000000000001E-4    -90.99195148367659
3.0E-5                    -2.5E-5                  -6.35E-4                 -91.07309940520457
3.0E-5                    -2.5E-5                  -6.34E-4                 -91.15424732673301
3.0E-5                    -2.5E-5                  -6.330000000000001E-4    -91.23539524826049
3.0E-5                    -2.5E-5                  -6.32E-4                 -91.31654316978859
3.0E-5                    -2.5E-5                  -6.31E-4                 -91.39769109131635
